owner_org,d_fiscal_year,total
aandc-aadnc,2017-2018,0.00
aandc-aadnc,2018-2019,0.00
aandc-aadnc,2019-2020,39940.73
cas-satj,2019-2020,37267.90
cas-satj,2020-2021,62398.10
cic,2019-2020,106267.18
cra-arc,2017-2018,19865.04
cra-arc,2018-2019,29917.22
cra-arc,2019-2020,68441.13
cra-arc,2020-2021,69418.87
csc-scc,2019-2020,77970.00
cta-otc,2018-2019,11300.00
dnd-mdn,2017-2018,33561.00
dnd-mdn,2018-2019,1462790.48
dnd-mdn,2019-2020,493570.41
ec,2019-2020,25150.78
hc-sc,2017-2018,45678.11
hc-sc,2018-2019,719193.22
hc-sc,2019-2020,401906.16
hc-sc,2020-2021,684567.89
ic,2017-2018,23914.80
infc,2018-2019,108667.35
jus,2019-2020,0.00
jus,2020-2021,0.00
nrcan-rncan,2017-2018,60372.70
nrcan-rncan,2018-2019,7575.61
oic-ci,2018-2019,106760.54
oic-ci,2019-2020,163753.01
opc-cpvp,2017-2018,89249.34
opc-cpvp,2018-2019,119230.81
opc-cpvp,2019-2020,41560.46
pbc-clcc,2019-2020,20622.50
pbc-clcc,2020-2021,36442.50
pco-bcp,2018-2019,111014.03
pwgsc-tpsgc,2017-2018,76613.71
pwgsc-tpsgc,2018-2019,97298.40
ssc-spc,2017-2018,660968.60
swc-cfc,2017-2018,8003.04
swc-cfc,2018-2019,4069.34
