d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2020-2021,68175.58,64484.25
it_consulting_services,2021-2022,781377.79,721821.77
it_consulting_services,2022-2023,1075990.38,963429.91
it_devices_equipment,2020-2021,662720.07,626153.10
it_devices_equipment,2021-2022,19669.20,18219.22
it_devices_equipment,2022-2023,58269.37,51776.40
it_other,2019-2020,24519.60,24044.00
it_other,2020-2021,108767.64,103970.66
it_other,2021-2022,47898.41,44918.46
it_other,2022-2023,16691.51,15017.06
it_software_licensing,2020-2021,45270.14,42656.96
it_software_licensing,2021-2022,11574.56,10694.78
it_software_licensing,2022-2023,3844.11,3472.24
