d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,29554.52,30467.18
it_consulting_services,2018-2019,21580.13,22008.75
it_consulting_services,2019-2020,19631.96,19475.36
it_consulting_services,2020-2021,18102.14,17239.35
it_consulting_services,2021-2022,38001.90,35331.34
it_consulting_services,2022-2023,38001.90,34004.26
it_software_licensing,2017-2018,27657.30,28477.54
it_software_licensing,2018-2019,46423.49,47185.30
it_software_licensing,2019-2020,60493.63,59914.22
it_software_licensing,2020-2021,36792.68,35078.92
it_software_licensing,2021-2022,38201.47,35438.21
it_software_licensing,2022-2023,38542.47,34449.45
