d_most_recent_category,total,percentage
5_transportation_and_logistics,88785840.41,0.7211
11_defence,23084518.62,0.1875
6_industrial_products_and_services,11014177.62,0.0895
1_facilities_and_construction,90475.60,7e-4
9_human_capital,65379.90,5e-4
2_professional_services,41823.56,3e-4
10_office_management,38854.93,3e-4
