d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,34197.5
1_facilities_and_construction,2018-2019,11298.449999999999
1_facilities_and_construction,2020-2021,44979.65
11_defence,2017-2018,7862740.614979381
11_defence,2018-2019,3884585.98619867
11_defence,2019-2020,3785960.109503324
11_defence,2020-2021,3775615.9561986704
2_professional_services,2020-2021,41823.56
5_transportation_and_logistics,2017-2018,19530827.390944935
5_transportation_and_logistics,2018-2019,15893494.034939747
5_transportation_and_logistics,2019-2020,22772902.470840976
5_transportation_and_logistics,2020-2021,22305879.64638714
6_industrial_products_and_services,2017-2018,6750859.01195578
6_industrial_products_and_services,2018-2019,1161591.4209066122
6_industrial_products_and_services,2019-2020,1482560.7556417794
6_industrial_products_and_services,2020-2021,1192071.1569531618
9_human_capital,2018-2019,65379.9
