d_most_recent_category,d_fiscal_year,total,total_constant_2019_dollars
0_other,2020-2021,0.00,0.00
10_office_management,2017-2018,317196.45,323028.16
10_office_management,2018-2019,221447.56,223497.97
10_office_management,2019-2020,89429.97,89552.59
10_office_management,2020-2021,206446.50,196388.23
10_office_management,2021-2022,255239.92,228443.90
11_defence,2017-2018,2911637.31,2991986.07
11_defence,2018-2019,4837815.04,4901681.17
11_defence,2019-2020,2200475.09,2196248.77
11_defence,2020-2021,11626927.74,11323207.18
11_defence,2021-2022,13125593.08,10199766.35
3_information_technology,2020-2021,16302.31,15901.22
5_transportation_and_logistics,2017-2018,2052185.80,2109380.41
5_transportation_and_logistics,2018-2019,3786356.60,3846307.33
5_transportation_and_logistics,2019-2020,2809009.30,2803492.12
5_transportation_and_logistics,2020-2021,1180279.03,1163889.49
5_transportation_and_logistics,2021-2022,1945.99,1797.49
6_industrial_products_and_services,2019-2020,14150.75,14029.09
