d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2018-2019,50824.25
11_defence,2017-2018,1605104.8530852033
11_defence,2018-2019,2826413.732874614
11_defence,2019-2020,3444834.7628592313
11_defence,2020-2021,5727259.747218588
5_transportation_and_logistics,2017-2018,10580
5_transportation_and_logistics,2018-2019,22471
5_transportation_and_logistics,2020-2021,82084.7
6_industrial_products_and_services,2017-2018,4166423.334897979
6_industrial_products_and_services,2018-2019,1834698.8744325275
6_industrial_products_and_services,2019-2020,2288567.8172341394
6_industrial_products_and_services,2020-2021,1341426.7
