owner_org,d_fiscal_year,total
cic,2019-2020,34175.61
cra-arc,2018-2019,47896.69
cra-arc,2019-2020,11062.19
csc-scc,2017-2018,457339.02
csc-scc,2018-2019,403288.53
csc-scc,2019-2020,412422.70
csc-scc,2020-2021,698421.66
dnd-mdn,2017-2018,47519.49
dnd-mdn,2020-2021,17782.92
ec,2017-2018,62675.94
ec,2018-2019,64623.50
ec,2019-2020,64800.55
ec,2020-2021,45200.00
esdc-edsc,2020-2021,468527.83
ic,2017-2018,46314.18
irb-cisr,2019-2020,81454.67
osfi-bsif,2019-2020,76632.83
osfi-bsif,2020-2021,50718.17
pc,2019-2020,56216.04
pc,2020-2021,67508.34
ppsc-sppc,2017-2018,23481.40
pwgsc-tpsgc,2017-2018,396527.00
pwgsc-tpsgc,2018-2019,1188545.61
pwgsc-tpsgc,2019-2020,485559.43
pwgsc-tpsgc,2020-2021,372209.86
