d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,163582.47
1_facilities_and_construction,2018-2019,22696.560734463277
1_facilities_and_construction,2019-2020,30441.689265536723
1_facilities_and_construction,2020-2021,17782.920000000002
10_office_management,2017-2018,32708.980000000003
10_office_management,2019-2020,81454.67
10_office_management,2020-2021,193738.5
11_defence,2017-2018,47519.49
2_professional_services,2017-2018,654123.3448371795
2_professional_services,2018-2019,643227.0454096162
2_professional_services,2019-2020,788219.1530865376
2_professional_services,2020-2021,1170665.0766666667
5_transportation_and_logistics,2017-2018,133295.72
5_transportation_and_logistics,2018-2019,957648.2671777335
5_transportation_and_logistics,2019-2020,322208.5080951997
5_transportation_and_logistics,2020-2021,338182.2870338529
6_industrial_products_and_services,2017-2018,2627.0339534883724
6_industrial_products_and_services,2018-2019,80782.45604651164
