d_most_recent_it_subcategory,d_fiscal_year,total,total_constant_2019_dollars
it_consulting_services,2017-2018,2806639.95,2890867.36
it_consulting_services,2018-2019,2203350.58,2243551.90
it_consulting_services,2019-2020,1598179.06,1580785.55
it_consulting_services,2020-2021,1080054.33,1029642.82
it_consulting_services,2021-2022,442906.77,414454.90
it_devices_equipment,2017-2018,2078700.11,2137478.48
it_devices_equipment,2018-2019,5123788.02,5174672.91
it_devices_equipment,2019-2020,3094806.52,3040705.52
it_devices_equipment,2020-2021,248069.77,236451.92
it_devices_equipment,2021-2022,153122.99,142649.69
it_other,2017-2018,763945.76,785140.65
it_other,2018-2019,703871.93,710791.52
it_other,2019-2020,59217.57,57976.54
it_other,2020-2021,48356.27,45923.01
it_other,2021-2022,12223.37,11235.04
it_software_licensing,2017-2018,6141693.95,6323689.76
it_software_licensing,2018-2019,7950329.93,8096437.51
it_software_licensing,2019-2020,8067017.63,7980688.16
it_software_licensing,2020-2021,1985302.06,1888709.42
it_software_licensing,2021-2022,222981.30,208880.59
