d_most_recent_category,total,percentage
2_professional_services,166561104.84770155,0.6911580630617293
3_information_technology,37145410.38290571,0.1541377257034714
10_office_management,17243178.5724049,0.0715518903049312
1_facilities_and_construction,5499293.553220706,0.022819739842187586
6_industrial_products_and_services,3468207.2238389733,0.01439159153823493
5_transportation_and_logistics,2454605.83,0.010185574913147196
4_medical,2445392.540213431,0.010147343661444501
9_human_capital,2196138.179462267,0.009113043598749874
7_travel,2046820.6050317152,0.008493438885999795
8_security_and_protection,1754360.3443888093,0.0072798526321543565
NA,173930,7.217358579498247e-4
