d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,175040.6238397782
1_facilities_and_construction,2018-2019,38748.5407537248
1_facilities_and_construction,2020-2021,59835.61643835616
10_office_management,2017-2018,59892.47602739726
10_office_management,2018-2019,174886.03
10_office_management,2019-2020,114993.55397260273
11_defence,2017-2018,90828.6052173913
11_defence,2018-2019,257347.7147826087
2_professional_services,2017-2018,4388411.06892658
2_professional_services,2018-2019,4312932.566669719
2_professional_services,2019-2020,3257053.163468534
2_professional_services,2020-2021,4118651.318781027
3_information_technology,2017-2018,618447.4585791836
3_information_technology,2018-2019,496584.0390462117
3_information_technology,2019-2020,1143331.3444862945
3_information_technology,2020-2021,486388.36152836616
8_security_and_protection,2020-2021,21559.326315789473
9_human_capital,2017-2018,236624.22322274884
9_human_capital,2018-2019,52100.39671682627
9_human_capital,2019-2020,78472.2024623803
9_human_capital,2020-2021,26157.400820793435
NA,2017-2018,25134.866129032263
