d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2017-2018,2280300.14
1_facilities_and_construction,2018-2019,2280300.14
1_facilities_and_construction,2019-2020,2286547.54
1_facilities_and_construction,2020-2021,2280300.14
