d_most_recent_category,d_fiscal_year,total
1_facilities_and_construction,2019-2020,23713.59
10_office_management,2017-2018,90240.38
10_office_management,2018-2019,72909.33
10_office_management,2019-2020,161714.43
10_office_management,2020-2021,22489.15
2_professional_services,2017-2018,1021000.55
2_professional_services,2018-2019,1144585.25
2_professional_services,2019-2020,2822413.24
2_professional_services,2020-2021,3315650.28
3_information_technology,2017-2018,6737796.62
3_information_technology,2018-2019,6025683.85
3_information_technology,2019-2020,7900342.66
3_information_technology,2020-2021,8721578.43
5_transportation_and_logistics,2018-2019,51330.79
5_transportation_and_logistics,2020-2021,5215.63
6_industrial_products_and_services,2020-2021,15802.00
8_security_and_protection,2020-2021,92363.39
9_human_capital,2017-2018,1138337.54
9_human_capital,2018-2019,1607970.06
9_human_capital,2019-2020,1226865.44
9_human_capital,2020-2021,998140.76
