d_vendor_name,overall_total
LUMINA IT,8173570.888166636
CISTEL TECHNOLOGY,7615355.318575255
PROTAK CONSULTING GROUP,4047136.9308972526
LIONBRIDGE,1249638.0318381754
STONEWORKS TECHNOLOGIES,810660.1448219179
EXCEL HUMAN RESOURCES,803919.623955322
TELUS CANADA,640657.3615256394
INTERNATIONAL REPORTING,550768.4873564242
CBCI TELECOM,544723.82
IFATHOM,351823.5
IPSOS,306642.5
MICROSOFT CANADA,281591.32
SOFTCHOICE,251238.79011744386
ACCESS 2 NETWORKS,230426.9585636115
HEWLETT PACKARD,225038.06287671233
OPROMA,158901.3292682927
MINDWIRE SYSTEMS,155446.75061403814
EKOS RESEARCH ASSOCIATES,144995.94999999998
ENVIRONICS RESEARCH GROUP,137294.76489932885
ADVANCED BUSINESS INTERIORS,123499.55
DELL COMPUTER,122947.30786885245
FAST FORWARD FRENCH,119240
ADVANCED CHIPPEWA TECHNOLOGIES,112086.05896032832
FREEBALANCE,99233.34589861751
COSSETTE COMMUNICATIONS,98669.25
NITAM SOLUTIONS,97832.12
NISHA TECHONOLOGIES,96285.03
PALADIN GROUP,92363.39
GARTNER,87001.09561643837
LANNICK CONTRACT SOLUTIONS,85731.10999999999
BLACKBERRY,82056.77821917809
CONEXSYS,76035.8
OPTIV CANADA FEDERAL,75553.17000000001
PLEIAD CANADA,69962.28
VMWARE,66298.14
CACHE COMPUTER CONSULTING,64756.37
TOYOTA CANADA,51330.78999999999
APPLIED ELECTONICS,50035.62
STIFF SENTENCES,47381
TURTLE ISLAND STAFFING,43451.100000000006
ROGERS,41865.4049270073
TOSHIBA CANADA,41494.78999999999
GLOBAL KNOWLEDGE,40267.68
UNIVERSITY OF OTTAWA,39900
LEXISNEXIS CANADA,37776.19
"NATIONAL ARTS CENTRE",36612
THOMSON REUTERS,34134.064
IBM CANADA,31426.667479452055
PRICEWATERHOUSE COOPERS,30594.853589041097
JUMPING ELEPHANTS,28130.04411764706
ACART COMMUNICATIONS,25000
ACT,22920.800958904107
ZYCOM,21088.71
THE KTL GROUP,20340
BMC SOFTWARE CANADA,19710.8
OPENTEXT,19258.01
ALTIS HUMAN RESOURCES,18625.95
CDW CANADA,18507.64
NOVA NETWORKS,18330.460000000003
GLOBAL UPHOLSTERY,17950
NIMBLE INFORMATION STRATEGIES,12543
CSDC SYSTEMS,12381.650000000001
CISION CANADA,11243.41
SYSTEMSCOPE,10170
CELLEBRITE,8351.263123287672
S P GLOBAL MARKET INTELLIGENCE,1411.7898437499998
