d_fiscal_year,total,total_constant_2019_dollars
2017-2018,8971796.84,9241227.05
2018-2019,8886900.87,9036883.91
2019-2020,12119428.27,12005521.98
2020-2021,13619970.87,12995940.97
2021-2022,10980112.34,10292190.05
